county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,total_morphine_mg,state,county_name,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
7,2008,28961.0,12,,17501063.6835,FL,BRADFORD,,15.208641162050228,15.208641162050228
7,2009,28979.0,12,,21250949.666812498,FL,BRADFORD,,14.500168263534942,14.500168263534942
7,2010,28536.0,12,,26556482.1788625,FL,BRADFORD,,15.664955201489008,15.664955201489008
7,2011,28431.0,12,,21271734.8625,FL,BRADFORD,,14.807061928930487,14.807061928930487
7,2012,27051.0,12,,16872471.0225,FL,BRADFORD,,13.184114832066342,13.184114832066342
7,2013,26802.0,12,,13693047.2925,FL,BRADFORD,,11.630726530637734,11.630726530637734
7,2014,26552.0,12,,13183908.525,FL,BRADFORD,,12.109261541833874,12.109261541833874
7,2015,26748.0,12,,11803059.015,FL,BRADFORD,,14.987429129395773,14.987429129395773
9,2006,535138.0,12,81.0,201185880.97307497,FL,BREVARD,15.136282603739597,14.028622030911139,15.136282603739597
9,2007,539719.0,12,84.0,246517125.9982375,FL,BREVARD,15.563654420170495,14.088496419709609,15.563654420170495
9,2008,542378.0,12,109.0,317956816.4787875,FL,BREVARD,20.096685337532126,15.208641162050228,20.096685337532126
9,2009,542109.0,12,122.0,365377071.24435,FL,BREVARD,22.504699239451842,14.500168263534942,22.504699239451842
9,2010,543965.0,12,119.0,498742872.4169625,FL,BREVARD,21.876407489452447,15.664955201489008,21.876407489452447
9,2011,544359.0,12,107.0,481216048.45874995,FL,BREVARD,19.656146035979933,14.807061928930487,19.656146035979933
9,2012,546966.0,12,98.0,363118834.53735,FL,BREVARD,17.91701860810361,13.184114832066342,17.91701860810361
9,2013,550255.0,12,82.0,309596112.6426375,FL,BREVARD,14.90218171574997,11.630726530637734,14.90218171574997
9,2014,555548.0,12,96.0,309433019.71061254,FL,BREVARD,17.280235011196154,12.109261541833874,17.280235011196154
9,2015,565746.0,12,132.0,316321655.9259,FL,BREVARD,23.332025325852946,14.987429129395773,23.332025325852946
11,2006,1739348.0,12,215.0,1222607147.4960625,FL,BROWARD,12.360953644699048,14.028622030911139,12.360953644699048
