county_fips,year,total_population,state_fips,death_drug_poisonings_unintentional,mortality_rate,mean_mortality_rate_per_state_year,filled_mortality_rate
187,2007,117667.0,48,,,9.459096890055822,9.459096890055822
187,2008,123398.0,48,,,10.073195142204476,10.073195142204476
187,2009,128265.0,48,11.0,8.575995010330175,11.214503287680074,8.575995010330175
187,2010,132587.0,48,11.0,8.296439319088599,10.423583013677874,8.296439319088599
187,2011,135809.0,48,11.0,8.099610482368622,10.510762041968544,8.099610482368622
187,2012,139641.0,48,10.0,7.16122055843198,9.643108331165203,7.16122055843198
187,2013,142881.0,48,,,9.382469924535565,9.382469924535565
187,2014,146811.0,48,,,9.98091462955963,9.98091462955963
187,2015,150578.0,48,,,9.551080383817931,9.551080383817931
189,2003,35553.0,48,,,8.526071492045281,8.526071492045281
189,2004,36259.0,48,,,7.5751570676608875,7.5751570676608875
189,2005,36066.0,48,,,8.75774348408746,8.75774348408746
189,2006,36162.0,48,,,12.545769398754976,12.545769398754976
189,2007,36080.0,48,,,9.459096890055822,9.459096890055822
189,2008,35662.0,48,,,10.073195142204476,10.073195142204476
189,2009,35926.0,48,,,11.214503287680074,11.214503287680074
189,2010,36269.0,48,,,10.423583013677874,10.423583013677874
189,2011,36381.0,48,,,10.510762041968544,10.510762041968544
189,2012,36258.0,48,,,9.643108331165203,9.643108331165203
189,2013,35676.0,48,,,9.382469924535565,9.382469924535565
189,2014,34451.0,48,,,9.98091462955963,9.98091462955963
189,2015,34034.0,48,,,9.551080383817931,9.551080383817931
191,2003,3699.0,48,,,8.526071492045281,8.526071492045281
191,2004,3665.0,48,,,7.5751570676608875,7.5751570676608875
191,2005,3613.0,48,,,8.75774348408746,8.75774348408746
191,2006,3582.0,48,,,12.545769398754976,12.545769398754976
191,2007,3440.0,48,,,9.459096890055822,9.459096890055822
191,2008,3398.0,48,,,10.073195142204476,10.073195142204476
191,2009,3343.0,48,,,11.214503287680074,11.214503287680074
191,2010,3359.0,48,,,10.423583013677874,10.423583013677874
191,2011,3312.0,48,,,10.510762041968544,10.510762041968544
191,2012,3268.0,48,,,9.643108331165203,9.643108331165203
191,2013,3164.0,48,,,9.382469924535565,9.382469924535565
191,2014,3075.0,48,,,9.98091462955963,9.98091462955963
191,2015,3094.0,48,,,9.551080383817931,9.551080383817931
193,2003,8225.0,48,,,8.526071492045281,8.526071492045281
193,2004,8181.0,48,,,7.5751570676608875,7.5751570676608875
193,2005,8263.0,48,,,8.75774348408746,8.75774348408746
193,2006,8389.0,48,,,12.545769398754976,12.545769398754976
193,2007,8452.0,48,,,9.459096890055822,9.459096890055822
193,2008,8497.0,48,,,10.073195142204476,10.073195142204476
193,2009,8527.0,48,,,11.214503287680074,11.214503287680074
193,2010,8465.0,48,,,10.423583013677874,10.423583013677874
193,2011,8389.0,48,,,10.510762041968544,10.510762041968544
193,2012,8249.0,48,,,9.643108331165203,9.643108331165203
193,2013,8241.0,48,,,9.382469924535565,9.382469924535565
193,2014,8160.0,48,,,9.98091462955963,9.98091462955963
193,2015,8080.0,48,,,9.551080383817931,9.551080383817931
195,2003,5216.0,48,,,8.526071492045281,8.526071492045281
195,2004,5209.0,48,,,7.5751570676608875,7.5751570676608875
195,2005,5258.0,48,,,8.75774348408746,8.75774348408746
195,2006,5293.0,48,,,12.545769398754976,12.545769398754976
195,2007,5365.0,48,,,9.459096890055822,9.459096890055822
195,2008,5512.0,48,,,10.073195142204476,10.073195142204476
195,2009,5556.0,48,,,11.214503287680074,11.214503287680074
195,2010,5599.0,48,,,10.423583013677874,10.423583013677874
195,2011,5580.0,48,,,10.510762041968544,10.510762041968544
195,2012,5534.0,48,,,9.643108331165203,9.643108331165203
195,2013,5547.0,48,,,9.382469924535565,9.382469924535565
195,2014,5561.0,48,,,9.98091462955963,9.98091462955963
195,2015,5654.0,48,,,9.551080383817931,9.551080383817931
197,2003,4534.0,48,,,8.526071492045281,8.526071492045281
197,2004,4474.0,48,,,7.5751570676608875,7.5751570676608875
197,2005,4417.0,48,,,8.75774348408746,8.75774348408746
197,2006,4409.0,48,,,12.545769398754976,12.545769398754976
197,2007,4296.0,48,,,9.459096890055822,9.459096890055822
197,2008,4187.0,48,,,10.073195142204476,10.073195142204476
197,2009,4086.0,48,,,11.214503287680074,11.214503287680074
197,2010,4159.0,48,,,10.423583013677874,10.423583013677874
197,2011,4159.0,48,,,10.510762041968544,10.510762041968544
197,2012,4097.0,48,,,9.643108331165203,9.643108331165203
197,2013,4065.0,48,,,9.382469924535565,9.382469924535565
197,2014,3990.0,48,,,9.98091462955963,9.98091462955963
197,2015,3920.0,48,,,9.551080383817931,9.551080383817931
199,2003,49472.0,48,,,8.526071492045281,8.526071492045281
199,2004,50220.0,48,,,7.5751570676608875,7.5751570676608875
199,2005,51141.0,48,10.0,19.553782679259303,8.75774348408746,19.553782679259303
199,2006,51470.0,48,,,12.545769398754976,12.545769398754976
199,2007,52446.0,48,,,9.459096890055822,9.459096890055822
199,2008,53206.0,48,,,10.073195142204476,10.073195142204476
199,2009,54228.0,48,11.0,20.28472375894372,11.214503287680074,20.28472375894372
